ID,v,h
1,197,77.7168,14122.70833
2,197,80.233,12301.36581
3,197,107.6138,13174.68043
4,197,77.7426,12422.12649
5,197,86.4483,12870.94161
6,197,91.9154,12479.32554
7,197,105.9578,13352.00733
8,197,101.299,11907.45859
9,197,113.6507,11866.07476
10,197,130.4657,11905.04825
11,197,76.8112,11665.08469
12,197,69.0095,12525.16065
13,197,83.6887,11813.14859
14,197,83.2282,11522.3964
15,197,67.0584,10473.21784
16,197,60.7142,11545.14171
17,197,122.5738,13675.14019
18,197,61.3295,7981.502521
19,197,43.1986,5847.342714
20,197,42.0124,7045.325943
21,197,39.6359,5456.695371
22,197,40.7852,5055.602877
23,197,38.7791,4913.360237
24,197,37.3877,5857.83652
25,197,31.394,6079.431871
26,197,26.6596,6474.34972
27,197,31.3948,6003.731741
28,197,40.984,6429.600812
29,197,35.1031,5759.34903
30,197,102.9478,11152.04851
31,197,73.7176,11328.42872
32,197,44.0217,8210.31045
33,197,33.9533,5936.046759
34,197,38.3263,5314.389933
35,197,40.3455,5415.436555
36,197,55.9774,7394.192974
37,197,30.723,8009.863123
38,197,73.1868,8972.332468
39,197,238.1182,28205.73782
40,197,384.5168,21986.41592
41,197,360.0969,21244.3675
42,197,205.118,22261.87659
43,197,190.4369,21230.45895
44,197,56.555,20750.10708
45,197,174.479,22631.62867
46,197,71.2549,19951.83228
47,197,119.37,18220.68273
48,197,149.8802,20116.72575
49,197,118.5631,22130.61844
50,197,173.8548,13844.53426
51,197,298.5374,22490.6045
52,197,462.2446,25266.06349
53,197,203.1151,28237.95205
54,197,109.016,29934.69994
55,197,141.8603,12800.39117
56,197,62.2078,15673.12516
57,197,118.6779,16007.78908
58,197,113.7515,14247.01584
59,197,77.3483,19371.63213
60,197,153.1805,16659.47568
61,197,85.6714,15850.47996
62,197,146.7896,18947.5367
63,197,199.5481,15981.79947
64,197,167.8535,16008.8651
65,197,211.7534,15698.39057
66,197,235.0295,15900.6576
67,197,250.8211,14185.13604
68,197,287.3283,15262.89348
69,197,122.9254,15153.98428
70,197,166.5936,15260.96745
71,197,162.3332,14762.55259
72,197,138.7566,14092.36684
73,197,128.0941,13116.99067
74,197,160.8014,14891.17916
75,197,194.588,15610.65573
76,197,157.3719,13885.23667
77,197,125.4064,14754.41404
78,197,117.2694,14703.41056
79,197,111.966,13593.15631
80,197,59.29,14786.19215
81,197,106.9408,14095.66723
82,197,170.2833,15377.7038
83,197,128.9335,15066.98169
84,197,152.9564,15719.44307
85,197,167.3239,15688.61144
86,197,174.4831,14888.12771
87,197,170.9512,16739.08217
88,197,156.6252,17187.5615
89,197,172.7406,15187.14545
90,197,111.9905,15895.84839
91,197,131.495,15628.48785
92,197,95.0903,15245.91768
93,197,179.7021,17079.57758
94,197,198.4967,15855.01774
95,197,136.7386,16603.55621
96,197,155.4515,20031.29959
97,197,171.7353,20617.50952
98,197,109.4685,15889.29919
99,197,125.6306,15977.41463
100,197,120.1698,15410.41313
101,197,101.8395,16589.75058
102,197,104.2781,14218.26618
103,197,166.956,15968.22657
104,197,46.6226,13801.5097
105,197,60.617,7281.937711
106,199,125.8925,17318.80377
107,199,52.509,8598.429588
108,199,108.2385,17614.28368
109,199,87.7198,16516.66345
110,199,105.1504,16556.99732
111,199,99.6402,16958.24509
112,199,139.2493,19563.89709
113,199,167.1398,18357.39792
114,199,124.954,12144.24868
115,199,140.5164,13417.7504
116,199,98.8517,12490.69503
117,199,98.6022,13484.1361
118,199,98.2192,13886.77058
119,199,87.7198,13415.31831
120,199,105.1504,14647.20509
121,199,99.6402,14516.73223
122,199,79.0435,15522.17826
123,199,98.4696,12107.20916
124,199,150.7732,11968.87484
125,199,116.53,11221.25977
126,199,167.1031,10785.39177
127,199,217.7449,10615.77413
128,199,163.0688,11297.12948
129,199,225.6688,11299.55863
130,199,242.3436,11525.61271
131,199,344.189,11914.34227
132,199,317.206,11430.44772
133,199,68.1318,14883.95384
134,199,45.9962,14707.05035
135,199,69.4942,7640.057467
136,199,38.453,11683.6329
137,199,50.7288,6952.932
138,199,72.4286,12150.13931
139,199,166.9095,11485.35844
140,199,141.3919,8278.996076
141,199,95.771,8556.369987
142,199,90.8875,10254.62055
143,199,139.284,9273.79813
144,199,91.8299,12432.55743
145,199,60.1223,17649.99055
146,199,44.8428,22097.15227
147,199,38.7861,60586.06403
148,199,35.1205,3794.922764
149,199,60.1365,53869.98631
150,199,105.0256,20575.95054
151,199,102.9711,20057.08509
152,199,76.6792,17770.55694
153,199,72.8906,11034.79736
154,199,44.0652,8688.714835
155,199,35.5647,8492.460079
156,199,82.5249,9098.850254
157,199,59.8749,6397.543886
158,199,66.0011,8784.19303
159,199,48.771,9255.70215
160,199,49.7883,7715.335103
161,199,29.1315,6648.152991
162,199,23.7319,6650.090043
163,199,29.1637,6348.275519
164,199,101.5045,10317.88691
165,199,66.0231,9478.787847
166,199,78.0838,6766.385645
167,199,43.4576,9366.643789
168,199,83.4745,10113.43929
169,199,87.2101,7018.056091
170,199,40.2831,6000.422781
171,199,72.2546,9640.873558
172,199,49.013,5930.74003
173,199,33.2855,6003.007712
174,199,54.262,12658.0168
175,199,55.677,17860.47065
176,199,61.5766,5802.87597
177,199,54.8509,12133.89905
178,199,42.4812,8796.853836
179,199,47.0822,6874.181156
180,199,32.4201,10915.70468
181,199,76.7055,25076.53054
182,199,69.9189,12643.46247
183,199,63.0172,10584.90273
184,199,68.1677,9398.13241
185,199,107.0769,6938.017318
186,199,38.9261,5336.170648
187,199,61.0655,5415.268632
188,199,55.7603,7484.13485
189,199,78.147,9243.633118
190,199,122.8581,11726.95102
191,199,129.873,12457.40151
192,199,113.7556,8426.443651
193,199,84.6371,11955.8464
194,199,78.5396,10852.65341
195,199,68.9743,7027.324545
196,199,128.9184,14109.2785
197,199,95.1966,11000.27433
198,199,81.338,13088.83208
199,199,49.3479,16637.14568
200,199,74.8177,12502.94945
201,199,57.0088,14345.70179
202,199,167.1621,14743.15612
203,199,171.4739,10190.67141
204,199,175.6969,10428.21813
205,199,139.5516,11413.58998
206,199,141.4667,17267.2928
207,199,291.4675,16973.77364
208,199,134.0253,15799.81862
209,199,117.3693,17022.38243
210,199,114.704,15645.53171
211,199,111.1356,16355.82934
212,199,140.8925,15117.33527
213,199,140.8644,13753.90539
214,199,105.4921,15538.78731
215,199,100.9055,12736.14713
216,199,136.229,13540.60998
217,199,124.8198,11920.24689
218,199,98.6029,11356.00245
219,199,121.3675,12976.45882
220,199,100.811,12696.3592
221,199,77.0019,12079.02092
222,199,89.4147,10614.45248
223,199,86.5721,11646.29235
224,199,98.3991,10901.87763
225,199,124.8721,11495.61584
226,199,117.3376,12161.613
227,199,105.1201,10751.07093
228,199,101.2633,12885.08221
229,199,105.4277,12016.06608
230,199,85.1749,11348.01833
231,199,85.303,12118.57129
232,199,84.044,11339.60947
233,199,81.3644,11832.53355
234,199,93.8344,13567.32423
235,199,91.1424,12304.55982
236,199,71.6131,12526.53011
237,199,87.7004,11041.18212
238,199,82.6086,11214.77911
239,199,82.9716,13875.17522
240,199,85.3991,11978.11435
241,199,73.2882,12739.5478
242,199,82.6447,13564.26064
243,199,84.4396,13013.99215
244,199,107.1625,11783.64816
245,199,82.3972,11671.7962
246,199,81.969,12901.21994
247,199,123.6377,11991.13907
248,199,79.8297,11569.41865
249,199,72.9048,12273.13189
250,199,70.7358,12984.85256
251,199,94.4402,12431.9489
252,199,79.8169,13602.11824
253,199,95.9738,13225.18453
254,199,97.421,12922.84562
255,199,107.7333,13043.46931
256,199,121.2597,13518.84528
257,199,74.645,13746.7485
258,199,84.6683,12934.25819
259,199,84.2482,12735.15487
260,199,92.1627,10900.88342
261,199,71.4657,10356.46106
262,199,81.8408,10178.62584
263,199,102.4766,10771.24482
264,199,78.0203,12453.21658
265,206,79.988,8388.467625
266,206,27.0803,7118.811743
267,206,37.8369,9916.417097
268,206,27.1436,8651.219068
269,206,22.2068,7498.919806
270,206,25.0831,5796.21824
271,206,31.3297,4832.058512
272,206,31.6741,5794.315768
273,206,40.1655,7716.171852
274,206,41.7171,6587.642914
275,206,37.5689,7273.445406
276,206,36.0883,8946.562993
277,206,37.3322,6880.142335
278,206,35.5836,6683.832294
279,206,39.8324,6519.124411
280,206,41.738,7616.094344
281,206,71.6727,6832.379654
282,206,99.2132,8597.31216
283,206,40.5319,8830.598149
284,206,54.3969,7999.53898
285,206,218.1729,20997.90231
286,206,361.0716,22000.87415
287,206,184.8517,19748.69196
288,206,250.2782,21313.06051
289,206,298.1533,19859.807
290,206,196.4644,19046.26367
291,206,139.6442,20156.76669
292,206,197.45,20869.34411
293,206,153.3746,21155.26216
294,206,128.0934,21089.75137
295,206,126.011,10697.47881
296,206,74.1073,16195.66659
297,206,104.916,15014.81222
298,206,115.9602,10129.19473
299,206,185.6755,7004.971494
300,206,110.8829,7405.671499
301,206,168.4292,8018.016687
302,206,87.9188,9652.566322
303,206,87.9754,9944.0058
304,206,96.8445,8979.163864
305,206,78.8972,8047.499254
306,206,89.7551,7632.968229
